"Target String","URL Safe String","User","Hub","Hub Type","Event Title","Event Locale"
".com",".com","Aaron Gingrich","The Sides Group","PERSONAL","Social Security Seminar","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement Income Planning Seminar","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","Linda Sama","Linda Sama, CFP®","PERSONAL","Money Matters for Women","en_US"
".com",".com","AnnMarie Etergino","The Etergino Group","PERSONAL","Connecting Wealth with Purpose; aligning your investments with your values","en_US"
".com",".com","Matthew M. Montalbano","Rock Cut Investment Group","PERSONAL","2018 Market Outlook ""Irrational in Exuberance""","en_US"
".com",".com","Julian M. Korber","The Cirque Investment Group","PERSONAL","The Denver Botanic Gardens","en_US"
".com",".com","Josh Gimpelson","Missoula","OFFICE","Cat/ Griz Tailgate Party","en_US"
".com",".com","Online Solutions","The Hershey Fitzsimmons Group - tombstone","PERSONAL","Fall Seminar","en_US"
".com",".com","Alexandra Mass","The Droster Team","PERSONAL","Cybersecurity in a digital and interconnected world","en_US"
".com",".com","Josh Gimpelson","The Vesta Group","PERSONAL","Market update, emerging themes and techology","en_US"
".com",".com","Gary Kiemele","Gary Kiemele","PERSONAL","Cat/Griz Tailgate Party","en_US"
".com",".com","Josh Gimpelson","The Vesta Group","PERSONAL","Cat/Griz Tailgate Party","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","How the heck can I tell if this is good for me: understanding food labels","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","How the heck can I tell if this is good for me: understanding food labels","en_US"
".com",".com","AnnMarie Etergino","The Etergino Group","PERSONAL","Megatrends - the forces driving our future","en_US"
".com",".com","Dan Ball","Denver","OFFICE","An evening with Carlotta Walls LaNier","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","How the heck can I tell if this is good for me: understanding food labels","en_US"
".com",".com","Julie A Schmiel","The Schmiel Wealth Management Group","PERSONAL","Women, Wine and Wall Street","en_US"
".com",".com","Aaron Gingrich","The Sides Group","PERSONAL","Sides Group Matinee & Holiday Toy Drive","en_US"
".com",".com","Michael Gergen","Michael Gergen, CFP®, CPFA","PERSONAL","It’s going to be a Wild evening.","en_US"
".com",".com","Brian Griffin","Brian Griffin, CFP®","PERSONAL","Social Security Workshop","en_US"
".com",".com","Online Solutions","Johnson Host Investment Group - Tombstone","PERSONAL","Preparing for Long-Term health care","en_US"
".com",".com","Robert J Schneebeck","Schneebeck Hyams Investment Group","PERSONAL","RBC WealthPlan — a roadmap for success","en_US"
".com",".com","Online Solutions","Johnson Host Investment Group - Tombstone","PERSONAL","Johnson Host Investment Group Holiday Happy Hour","en_US"
".com",".com","Nancy Harris","Nancy Harris","PERSONAL","Retirement and Estate Planning Seminar","en_US"
".com",".com","Joe DiVito","The Di Vito Consulting Group","PERSONAL","Maximizing your Social Security benefits 11:30 AM -1:30 PM","en_US"
".com",".com","Joe DiVito","The Di Vito Consulting Group","PERSONAL","Maximizing your Social Security benefits 5:00 PM - 7:00 PM","en_US"
".com",".com","Rick S Friedman","The Friedman-Sepolio Wealth Management Group","PERSONAL","Understanding Today's Retirement Challenges","en_US"
".com",".com","Julie Sullivan","Billings","OFFICE","Navigating the Current Market Environment: An Update","en_US"
".com",".com","Mari Bunney","Mari Bunney","PERSONAL","Impactful Giving","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","How to Avoid those 15 Holiday Pounds!","en_US"
".com",".com","AnnMarie Etergino","The Etergino Group","PERSONAL","Positively impact the causes you care about while creating a family legacy","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","Navigating Loss through the Holidays","en_US"
".com",".com","David Richter","David Richter","PERSONAL","Charitable Giving Rules Have Changed … Are You Prepared?","en_US"
".com",".com","Mike Enright","True North Investment Group","PERSONAL","Charitable Giving Rules Have Changed … Are You Prepared?","en_US"
".com",".com","Tom J. Delich","Delich Wealth Management Group","PERSONAL","Charitable Giving Rules Have Changed... Are You Prepared?","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","Retirement Plan Basics Live WebEx","en_US"
".com",".com","Edward Murphy","Murphy Hall Group","PERSONAL","2018 and Beyond: A Conversation with Jim Allworth and Kelly Bogdanova","en_US"
".com",".com","Patrick A. Easter","The Lone Star Group","PERSONAL","Lone Star BBQ","en_US"
".com",".com","M. Ben Hamilton","The Hamilton Withrow Group","PERSONAL","Test","en_US"
".com",".com","John F. Carroll","John Carroll, CRPC®","PERSONAL","Hot Topics in Estate Planning","en_US"
".com",".com","Mark Santia","The Santia Foster Wealth Management Group","PERSONAL","Test","en_US"
".com",".com","Andrew J. Hensen","Hensen Webb Group","PERSONAL","Women's Lunch and Learn - Estate Planning","en_US"
".com",".com","Frank O'Neill","The ONeill Wealth Management Team","PERSONAL","Test","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Charitable Givie Conference Call","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial in for our Charitable Giving Conference Call","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","4th Quarter Fiduciary Legislative Update","en_US"
".com",".com","Patrick McKiernan","Plan Resource Group","PERSONAL","2019 WebEx Series: Know more. Save more.","en_US"
".com",".com","Julene Melquist","Koch Wealth Solutions","PERSONAL","View of the Markets","en_US"
".com",".com","Gary Kiemele","Gary Kiemele","PERSONAL","2019 Market Outlook and Megatrends Driving our Future","en_US"
".com",".com","David Milowe","Milowe Wealth Management Group","PERSONAL","Dial In For Our February Lunchtime Conference Call on Legacy Planning","en_US"
".com",".com","Jeff Heberling","Houston Galleria","OFFICE","Test 123","en_US"
".com",".com","Richard Gress","The Gress Lodge Group","PERSONAL","RBC Wealth Management 5th Annual Women's Empowerment Forum","en_US"
".com",".com","Richard Gress","The Gress Lodge Group","PERSONAL","Please join RBC Wealth Management for our 5th Annual Women's Empowerment Forum","en_US"
".com",".com","Larry Prutch","The PVG Group","PERSONAL","City National 2019: Economic & Investment Forum","en_US"
".com",".com","Ken Cerruto","REACH Wealth Solutions","PERSONAL","Market Outlook for 2019 and Megatrends in Technology Driving our Future","en_US"
".com",".com","Julene Melquist","Koch Wealth Solutions","PERSONAL","2019 Market Outlook","en_US"
".com",".com","George Sirigotis","The Sirigotis Turner Group","PERSONAL","Market Outlook for 2019 and Megatrends in Technology Driving Our Future","en_US"
".com",".com","Christopher Lobo","The Will and Lobo Wealth Management Group","PERSONAL","The Will and Lobo Wealth Management - Retirement Planning Seminar ONE","en_US"
".com",".com","Christopher Lobo","The Will and Lobo Wealth Management Group","PERSONAL","Test","en_US"
".com",".com","Christopher Lobo","The Will and Lobo Wealth Management Group","PERSONAL","test","en_US"
".com",".com","Christopher Lobo","The Will and Lobo Wealth Management Group","PERSONAL","The Will and Lobo Wealth Management Group: Retirement Seminar ONE","en_US"
".com",".com","Christopher Lobo","The Will and Lobo Wealth Management Group","PERSONAL","The Will and Lobo Wealth Management Group: Retirement Seminar TWO","en_US"
".com",".com","Julie A Schmiel","The Schmiel Wealth Management Group","PERSONAL","Health and Wealth Power Hour","en_US"
".com",".com","Lou Foran","The Foran Group","PERSONAL","Test Run","en_US"
".com",".com","Joanne Fabec","Joanne Fabec","PERSONAL","2019 Market Update","en_US"
".com",".com","John Letourneau","Gulf View Wealth Group","PERSONAL","Event Sample","en_US"
".com",".com","Lee Edgcomb","Edgcomb Financial Advisors","PERSONAL","Edgcomb Financial Advisors Curling Dare","en_US"
".com",".com","Jeffrey Ball","Jeffrey Ball, CFP®, CSRIC®","PERSONAL","Green Investment Club – Investing for Positive Social Impact","en_US"
".com",".com","Jeffrey Ball","Jeffrey Ball, CFP®, CSRIC®","PERSONAL","Green Investment Club – Investing for Positive Social Impact","en_US"
".com",".com","Thomas L Coxhead","Thomas L. Coxhead Investment Group","PERSONAL","For Western Slope:","en_US"
